页码,微博id,微博ids,微博作者,发布时间,微博内容,转发数,评论数,点赞数
1,4785707983832954	,4785707983832954	,知未科技,2022-06-29 14:46:00,#微念起诉李子柒公司案将开庭#近日，杭州微念品牌管理有限公司与四川子柒文化传播有限公司相关案件新增开庭公告，原告为微念，该案将于7月4日在绵阳市中级人民法院开庭。还记得前因后果吗？阿知带你回顾“李子柒”事件始末。@知未科技 知未科技的微博视频 ,234,115,553
1,4792914813387718	,4792914813387718	,2的很有范儿-,2022-07-19 12:03:22,#李子柒#微念起诉李子柒公司案将开庭  小编带你了解事件始末 2的很有范儿-的微博视频 ,180,176,1352
1,4792911403421279	,4792911403421279	,剧综达人洋柿子,2022-07-19 11:49:49,#李子柒#李子柒自那事件后就没有再露过面了，你们知道这个网红吗？  网页链接 ,111,115,472
1,4686743301259936	,4686743301259936	,观视频工作室,2021-09-29 12:35:41,【被资本捧红，与资本闹掰，深度解读李子柒停更事件】#李子柒说时代给了我一阵风# #李子柒为什么停更# 李子柒和她背后的资本杭州微念，本应是一场相辅相成互惠共赢的合作关系，到如今却变成“资本真的是好手段”。不过归根结底，终究是金钱、利益的问题。#欣欣向融# 观视频工作室的微博视频 ,893,591,8525
1,4683682508178808	,4683682508178808	,岱琳,2021-09-21 01:53:11,"聊聊李子柒事件。内容创作者和资本的关系。

#视频星计划##创业[超话]##李子柒[超话]# http://t.cn/RZIPNkX http://t.cn/A6ML0HNk ​",18,39,174
1,4521945603973586	,4521945603973586	,新京报,2020-07-01 18:28:28,【#律师解读李子柒视频疑被抄袭#：维权难度大 需精准比对】7月1日，有网友曝光某越南美食博主疑似抄袭李子柒视频，引热议。对此有律师称该事件维权难度较大。律师表示，我国的《著作权法》保护表达，但不保护思想。“表达”与“思想”之间的界限也没有进行明确规定。例如，李子柒视频中的画面，属于故事表达，但其中关于田园生活的理念，应属于思想。而其中镜头运用、拍摄内容、发型、造型等方面的雷同，都需要进一步根据细节具体分析。新京报动新闻的秒拍视频 @新京报动新闻,43,92,510
1,4805843135234297	,4805843135234297	,童年童梦有内涵,2022-08-24 04:15:54,李子柒方回应螺蛳粉刀片事件：被恶意抹黑，该批次生产仪器无异常  童年童梦有内涵的微博视频 ,0,0,0
1,4803790563706073	,4803790563706073	,整圈儿美悦宝,2022-08-18 12:19:43,李子柒官方回应螺蛳粉事件 李子柒螺蛳粉被黑幕后真相，原来是无良营销号在造谣#时尚穿搭##喜欢的精灵分享给大家2# 整圈儿美悦宝的微博视频 ,0,0,0
1,4803351830858556	,4803351830858556	,BB兽,2022-08-17 07:16:21,李子柒接受官媒采访，将带来新的大动作，也间接回应了资本事件  BB兽的微博视频 ,0,0,0
1,4799930991122862	,4799930991122862	,三千院风,2022-08-07 20:43:09,#谭乔与成都台达成和解##谭谈交通重新上线#恭喜谭sir！这是谭sir个人维权的一小步，却是我国知识产权保护的一大步！@谭乔 的这次和解，是近年来类似事件中少有的胜利。在“版权方”与原创作者发生纠纷的情况下，原创作者处于绝对的劣势，大都以原创作者的失败而告终。火遍外网的李子柒，至今都没有恢复更新。尽管只是和解，但已经达到了保护我方谭sir的目的。未来再有人打算发起“碰瓷式维权”，都得先掂量掂量。但需要看到，潭sir的这次胜利具有其特殊性：1.《谭谈交通》节目具有较强的公益性；2.谭sir具有很强的网络影响力；3.其对手相对来说还多少要点儿脸。这三方面缺失了任何一条，事件的最终解决都有可能以年为单位计算，谭sir变成下一个李子柒也不奇怪。如果多次发生这样的怪事，我们不禁要产生疑问：版权制度存在的目的，是为了扼杀原创作者吗？在关注事件进展的过程中，不能忽视，也有一些朋友认为我是法盲，觉得版权方对个人提出天价索赔是合理合法的。觉得我是法盲也就罢了，但类似的版权纷争多次激起大众的愤怒，难道大众都是法盲吗？近年来，版权领域似乎进入了纷争高发期。这已经不仅仅是一个法律问题，也是一个社会问题，更是一个分配问题。问题的核心就是，原创作者在版权收益中应该分几成？对此，版权方多次以实际行动给出答案：约等于0。支持这样无耻的版权方，某些朋友是打算让原创作者全都饿死吗？诚然，原创作者会从自己的创作中获得一些名气、一些关注、一些流量。如果你因此就去攻击他，为什么不拿出与收益相同比例的力度，去抨击试图切走所有蛋糕的“版权方”呢？在此，我呼吁版权方在“维权”时尽量遵守以下原则：1.平台优先原则。版权方应以平台为维权目标而非个人，个人创作者不具备支付天价赔偿的可能；版权方如针对个人进行诉讼，难免有进行“版权勒索”的嫌疑。这是为了让谭sir这样的创作者，避免莫名遭遇天价诉讼。2.初次免责权。个人或组织初次违反版权方个别权益时，如能在接到通知后及时删除相关内容，应免于赔偿责任。这是为了避免你像PDD那样，在直播间里随口唱首歌，就被索赔10万元。3.维权有效期。如果版权方在一定时间内不对作者或平台提出异议，则不应就过往作品提出索赔。这是为了避免创作者因为多年前的图文或视频，突然遭到天价索赔。可能有的朋友会觉得，这几条保护原创作者权益的想法是在痴心妄想。但我认为，版权制度的长远发展，需要让各方都能维护自己的正当权益。无视原创作者利益的版权制度，是走不远的。即使所谓的“版权方”通过敲诈原创作者获得了不菲收益，那也是在抽空版权制度的基石，终将失去整个社会的信任，最终导致版权制度的整体坍塌。#微博新知博主#,1,2,14
1,4799851546806026	,4799851546806026	,罗一罗,2022-08-07 15:27:28,#谭谈交通重新上线#恭喜谭谭维权成功，恭喜交通节目重新上线。之前有关法律人士就一直在说，谈谈交通和李子柒的这个事件是法律维权，以及事实版权的一个里程碑。真没想到事情这么快就有了结果，这么快就重新上线，不得不说通过网络的力量通过法律的途径重新维权，成功那也是很难得的一件事情在这里，还是要恭喜他。重新上线了交通节目，重新看到了人间的烟火味，重新看到了节目当中的人生人和不一样的人生。其实看过几期他的节目，确实是很不错的，幽默中带有伤感，伤感中带有人情味。像这样的节目值得提倡，像这样的节目应该多几个才让我们看到真实的人间，冷暖的人间。#微博新知博主#,2,2,25
2,4796989013492769	,4796989013492769	,暗恋杀手卡丽娜,2022-07-30 17:52:47,#防弹少年团将发布2022年世界杯歌曲#只能说羡慕hg，，，再加上最近迪奥裙子事件，，，还有被资本搞下去的李子柒，，，我们的文化什么时候才能进一步走出去啊。。。尤其是管管内娱这种烂泥风气吧，这不应该只是管管粉丝这那的就能解决的。 ,0,2,11
2,4796071967195220	,4796071967195220	,逐光-北极星,2022-07-28 05:08:46,李子柒与刘同明之间的事件，就是联想事件的翻版。刘同明也可以称为小柳传志，挤走创始人，窃取劳动成果，用欺诈的手段完成资本的原始积累。刘同明对社会有一丝一毫的贡献吗？他完全是社会的蛀虫，给社会带起不良的风气，如果纵容他，就是在纵容欺诈，纵容不道德的商业行为。可以说他和柳传志，给人们做了一个极坏的榜样，如果不严惩，会导致社会风气的败坏。如果人们都学他们，那黑与白将会颠倒，社会将会混乱。  虽然李子柒与刘同明的案件不大，但影响深远，他将会让人看到，法律是否正义，这个社会是否光明。如果案件迟迟不判，会导致人们对法律对社会的正义信念的动摇，会损害现代社会在人民心中，甚至国际上的形象。  希望绵阳中级人民法院，快刀斩乱麻的处理此案，不要给不道德者，欺诈者以误导，不要寒了人民的心。,0,0,1
2,4794497634407219	,4794497634407219	,快乐的馒头211,2022-07-23 20:52:56,#唐山打人事件最新# 唐山被打女孩事件跟李子柒的遭遇差不多，所以有关李子柒品牌的任何产品我后了都不买，还取关了她，因为李子柒已经不再是李子柒。资本的力量告诉人们，做人要冷漠。 ,0,1,0
2,4794173033810484	,4794173033810484	,蓝肤巨人黄,2022-07-22 23:23:05,#麻辣烫爆火韩国# 这种陈芝麻烂谷子的事儿怎么莫名其妙上了热搜?麻辣烫在韩国都🔥好几年了，当年李子柒辣白菜事件就已经有韩国人叫嚣着“中国人要抢辣白菜，我们就抢他们麻辣烫”，那群韩国人还公然在麻辣烫吃播底下讨伐中国人开的麻辣烫店卫生差，号召韩国人去韩国人开的麻辣烫店吃，说什么不要让中国人赚一毛钱。谁看了不说一句真死皮赖脸呢?,0,0,5
2,4793337615487429	,4793337615487429	,是废话多的屁通妹妹,2022-07-20 16:03:26,#dior#无语吗的 中国文化就是这样对待 李子柒事件也是文化自信怎么宣传  ,0,3,23
2,4793237250245570	,4793237250245570	,七伤散人,2022-07-20 09:24:37,李子柒事件和易烊千玺事件的底层逻辑是什么？，一个是野蛮自然生长，对外有足够正面的影响力，真正为中国田园文化推广做贡献，结果因为后续带来的利益被资本看中而将其绞杀。国家层面的媒体居然只是像中立看戏人一样的报道一下，本质就是无动于衷。因为文化对推广是群众自发的，和官方无利益关系无责任联系，他们就当成别人的事，不了了之。易烊千玺就是国内资本和官方联合造起来的“红色”明星，简单称之为官产文媒的宠儿好了，对外文化宣传没啥显著作用，主要作用是对内影响喜欢他的一些粉丝接受爱国洗礼。所以无论他本身有没有问题，资本都要让他没问题，毕竟前期投入的资本放在他身上还要靠他赚钱呢，比如张艺谋的电影不就近在眼前。这些资本和所谓“文化人”关心的是钱和“艺术”，公平算个屁，文化人的窃算偷吗？官方呢，就算不赚钱，还要面子呢，就官媒舆论只会齐刷刷蓝海洗地，三五不时被国外舆论吊打的熊样，知道他们推个“爱国”品牌多难吗？好不容易推出的品牌，怎么能让屁民说说就倒，至于公平？只要把程序为特别人物调整一下，怎么不公平？这就叫特事特办，一堆文化人都赞同呢。毕竟特事特办一句话的事，文化人的特事，能叫特吗？,0,0,1
2,4793234104257264	,4793234104257264	,一颗流泪小猪菜,2022-07-20 09:12:07,#文明之美看东方#我想问问，李子柒事件的后续 ,0,0,0
2,4793144761647315	,4793144761647315	,拾七阿喂,2022-07-20 03:17:06,是什么让我又熬到这个点，那当然是因为李子柒又上热搜了我就又跑去看她的视频，然后再次被泡菜事件激怒，所以又跑去油管和韩国人虚空对线。韩国人出生就把脸皮扒下来喂狗了是吧？还好意思模仿罗杰叔叔对李子柒的泡菜指指点点？在那远程点评李子柒做的“韩国传统泡菜”哪里做的不对，我他妈给你一锤头 ,0,0,0
2,4793008228929621	,4793008228929621	,金金珠儿,2022-07-19 18:14:34,#李子柒#说李子柒出事后，政府不支持她的，也许您没有您表现出来的那么关心这件事，真正关注过李子柒事件的都知道：她出事后，央视带头发声，表示支持，还专访，四川政府这边还请她出席现场活动，国内大多网友都声援她，支持她她的事是合同纠纷，涉及法律问题，政府怎么给她解决，支持但得有底线，不可能触犯法律莫名其妙的热搜和论调，整的我都要阴谋论了，这是要整李子柒还是要挑事政府。期待她早日回归。,1,0,11
2,4792997751296091	,4792997751296091	,好久不见已被占用,2022-07-19 17:32:56,李子柒事件始末！  好久不见已被占用的微博视频 ,0,0,0
3,4792992499501957	,4792992499501957	,余弦五月,2022-07-19 17:12:04,#李子柒#民事纠纷，国家本就不好下手。总有人觉得，李子柒为国家文化外宣做出了贡献，所以在李子柒出现问题之后，国家应该出面帮助李子柒。但我的想法恰恰相反，越是这个时候，国家越不能和掺和到这件事儿中。我还记得，新疆棉事件的时候，有几个国外的博主录制了新疆的视频，反驳国外媒体的不实言论，却迎来了“你们录视频是不是中国政府给了钱”这样的质疑。李子柒能够在国外火爆，有一部分在于她始终是“个人号”，不带有任何政治色彩。一旦国家出面，那么李子柒以往的内容都会被打上政治元素，她的田园风光也就不再单纯了。某些人坚信国外媒体对中国的造谣，在他们眼中，和中国政府有关系的一切，都不过是再给中国“洗白”罢了。因此，李子柒绝不能和政府有所关联。其次，很多外国人对中国人有一种“没有自主性，政府的奴隶”的歧视，一旦政府掺和到民事纠纷中，反而更容易加深外国人的这种印象，反而对国家形象不利。从天下霸唱的鬼吹灯到李子柒的视频，在知识产权的争端中，创作者总是处于弱势的一方。我们只能希望法院的判决足够公平公正，希望属于创作者的正义早一天到来，也希望对产权知识的保护可以更加完善。,2,0,4
3,4792986733644304	,4792986733644304	,3366就是99,2022-07-19 16:49:09,#李子柒# 这社会事件，真是越来越看不懂了，以前看过她的视频感觉很治愈诶，喜欢那种文化氛围感。额，搞不懂。不会就这么沉寂下去吧？ ,0,1,2
3,4792975621625556	,4792975621625556	,落尽繁华烟雨殇,2022-07-19 16:05:00,你少带节奏，李子柒事件我没少反黑,0,0,0
3,4792967339181644	,4792967339181644	,桂木智之bot,2022-07-19 15:32:05,@抔抔:对比千玺上百家媒体同时为他发声，就感觉对她来说挺不公平的。哎，这种事情还是不好去说啊🙊//我不是在拉踩易烊千玺，之前李子柒在文化输出上确实带来了一定的贡献也被央视多次提名但是她出事后却没看到一个媒体主动去跟进事件或者为她发声，这件事就一直拖着也不知道什么时候才能解决,0,0,0
3,4792946484318684	,4792946484318684	,得九呗,2022-07-19 14:09:13,#李子柒#这么多年 没有一个主流媒体帮她🤷♀️她一个小姑娘在外网输出那么大力量 韩服暖暖事件 光遇帽子 到现在的迪奥马面裙 到最后都是不了了之 文化自信？对内宣扬而已 对外那可是唯唯诺诺的 ,0,5,167
3,4792942285292326	,4792942285292326	,罗宾酱的紫帽子,2022-07-19 13:52:32,#李子柒#  和#易烊千玺#  事件对比国内媒体态度，是多大的讽刺啊！ ,0,1,12
3,4792936619835797	,4792936619835797	,萌宠萌动,2022-07-19 13:30:00,#李子柒# 李子柒事件始末好不容易有个输出中国传统文化的网红，还是被资本一套操作没了（up言之尤里ou） 萌宠萌动的微博视频 ,0,1,17
3,4792932912075104	,4792932912075104	,小毕刀,2022-07-19 13:15:17,#李子柒#这么好这么成熟的对外输出渠道，讲好中国故事的人，不应该就这么消失掉如果是恶劣的资本打压性质的事件，我真的觉得外宣部门应该撑一把 ,0,1,7
3,4792932673262374	,4792932673262374	,蝎一歇,2022-07-19 13:14:20,#李子柒#今年发生以来的种种大型社会事件，总感觉有人或团体在故意扯gj发展后腿，残害同胞，破坏社会稳定！ ,0,1,3
4,4792930155628079	,4792930155628079	,青红捏了个皂白丶,2022-07-19 13:04:20,#李子柒#别的不说  这热搜像是....故意为之    马面裙事件   （抖音有个视频）中国人穿马面裙逛dior  这很文化自信结果媒体无人发声，还要靠小众汉服店联合发声大虐 ,0,3,40
4,4792928608720664	,4792928608720664	,绿色叶菜21473,2022-07-19 12:58:11,#李子柒#  这个热搜没有新的新闻事件，没有蓝V报道，没有主持人，没有热搜区的发帖框，莫名其妙突然到了热搜前排，这是被用来转移注意力的热搜吧， 要转移什么事件呢 ,0,0,0
4,4792924833582892	,4792924833582892	,执笔写心·笑看花开88,2022-07-19 12:43:11,#李子柒#一直在关注这事件……以前只看过几个她的视频，一直对她印象不错，希望能早点回归 …… ,0,1,12
4,4792924635665543	,4792924635665543	,金牛座的小宅女苗苗,2022-07-19 12:42:24,#李子柒#热搜第一 羡慕呀 中国版N号房事件 以及警惕合规化的不公平也能上热搜 都被压的死死的 ,0,0,6
4,4792924133656275	,4792924133656275	,喜利咩咩,2022-07-19 12:40:24,#李子柒##迪奥 文化挪用##迪奥抄袭马面裙# 打扰大家，也请关注一下迪奥文化挪用事件 ,2,1,147
4,4792921029086298	,4792921029086298	,_安咕_,2022-07-19 12:28:04,#李子柒#看不懂事件的发展 ,0,1,1
4,4792919913403355	,4792919913403355	,用户7771295871,2022-07-19 12:23:38,#李子柒#又来绑架国家了，国家有什么义务帮她呢，她为啥会成这样和她自己也脱不了干系吧，自己的事自己解决，独立行走不好吗，网红博主千千万，这次国家出手帮了她，以后呢？有相关的事件其它博主粉丝又要来绑架了是吗，国家就不应该管这些东西，而且她走到现在这步，不会真有人觉得她是靠自己，背后没人运作吧？各位要国家帮忙的网友请清醒一点好吗,0,0,0
4,4792919410346631	,4792919410346631	,快乐源泉是老龚,2022-07-19 12:21:38,#李子柒#资本很可怕，有资本和没资本，话剧院事件和李子柒，这俩足以证明了普通人是多么难 ,0,1,8
4,4792918713310377	,4792918713310377	,generous_c,2022-07-19 12:18:52,#李子柒#这个我突然间联想到这两天的马面裙事件，如果李子柒能够依靠她的影响力，在外网上边儿做一些有关马面群方面的解释，我相信一定会有很多的外国人能够看到，但是现在她好像不能发声。 ,1,4,58
4,4792916872005304	,4792916872005304	,浪漫野心9977,2022-07-19 12:11:33,#李子柒#我觉得很无语，感觉我们国家没有一个对外宣传我们中国文化的机构，就像这次马面裙抄袭事件，也没有一个对外官方来表示我们的态度 ,0,2,7
5,4792916092132048	,4792916092132048	,丶剪红妆,2022-07-19 12:08:27,#李子柒#真是差劲 文化输出得从小事件小人物入手这个道理你们是一点不懂啊 那些东西别人都有！需要你来输出？ ,0,1,0
5,4792913814360467	,4792913814360467	,小熊猫怕热,2022-07-19 11:59:24,#李子柒#我不知道什么事件，只是很久没看到她更新了，原来是因为这个原因么。唉 ,0,1,0
5,4792864208851341	,4792864208851341	,毛妹no543,2022-07-19 08:42:17,李子柒事件有隐情，顶流网红李子柒和公司闹上法庭，你支持谁呢？  毛妹no543的微博视频 ,0,0,0
5,4792232547455269	,4792232547455269	,奇遇知千里,2022-07-17 14:52:17,#成都电视台就谭谈交通发布声明#有句话说的真没错，但那句话我不想说…#唐山打人事件9人全部落网# 都石沉大海了吧……还记得之前玛莎拉蒂车主事件么？李子柒事件也都消声灭迹……黑暗时代…… ,0,1,20
5,4791485134277766	,4791485134277766	,反对脑控和有组织纠缠,2022-07-15 13:22:20,#北京析言##成都游术##成都妹子##谭乔#北京析言知识产权公司就在这里哦，敲开门里面的小姐姐支支吾吾，刚开始都不敢说自己是哪个公司到底是干什么的我希望这种知识产权流氓行为可以少一些，同时也希望遇到类似事件的李子柒姐姐能够胜诉，我们大抵都是被同一拨人搞了吧，当时没能够帮忙，现在能帮一点是一点，㊗️好人有好报🙏,0,0,0
5,4791283820272764	,4791283820272764	,热门搞笑小视频,2022-07-15 00:02:23,#Uzi抖音账号被封# UZI抖音被封是因为uzi去了b站，但uzi抖音账号还在前经纪公司手里，让我想到李子柒、谭谈交通事件，合约要切割清楚，否则得不偿失，麻烦不断 ,0,1,1
5,4791190497792043	,4791190497792043	,末位观点,2022-07-14 17:51:33,#谭谈交通版权争议首案宣判#估计让不少人觉得难以接受吧，首案法院认定版权归属成都电视台，也就是说作为创作者的谭sir反而没有版权，这很难不让人联想到争执已久的李子柒事件。首次宣判一定不会是终点，你认为谭乔作为创作者应该享有版权吗？#法院认定谭谈交通版权归属电视台# ,11,15,171
5,4790187546904731	,4790187546904731	,朕叫蓝景源,2022-07-11 23:26:11,李子柒事件恐再现 资本操纵太可怕了 看来得请罗翔老师了,0,0,1
6,4790139789770921	,4790139789770921	,游来游去的游游,2022-07-11 20:16:24,#谭谈交通已被成都电视台注册商标#注册了就是你的了？有的事情不是说合法就完事了，参考李子柒事件 ,0,0,7
6,4789994897805677	,4789994897805677	,山山木木木,2022-07-11 10:40:39,李子柒事件没甚关注，想来应该是被杂乱无良的资本运营引入陷阱的结果。但此次谭sir绝不是类似情况，虽然目前谭谈交通视频下架了，但我预料定还会重新上架，支持谭sir！,0,0,1
6,4789993283521893	,4789993283521893	,花卷卷er,2022-07-11 10:34:14,我也是那么觉得的，就想到了李子柒事件，都被资本坑了。也不懂李子柒谭乔这种正面积极性的这种上头不出手管一下资本，这些流氓公司太为所欲为了吧,0,0,1
6,4789969854400950	,4789969854400950	,石韦学长,2022-07-11 09:01:09,#谭谈交通全面下架##成都游术文化传播有限公司#又是一起资本跟创作者之争。但是这起事件又与以往的争端不太一样。以往我们都知道李子柒为什么都一年多了还没在次出现在大众视野里，为什么当年超级女声比赛完解约就立刻面临天价赔偿。这些背后本质上是资本在早期投入创作者然后后期谈崩，这属于合作纠纷。但是这一次这个公司的提告就完全不一样了，这是顶着侵权的名义去提告创作者。看了一下网上的信息，基本可以认定这应该是个代理公司，一个成立短短几年的公司提告十几年的节目都有，有人说这就是个网络打手。这个词用得虽然贬义，但是却可以大概看得出这个公司的本质。这是资本利用法律的规则再一次对创作者进行开刀。至于为什么？天下嚷嚷，无利不往。#微博新知博主#,1,1,33
6,4789938124490022	,4789938124490022	,杰克Jack666,2022-07-11 06:55:04,继【李子柒事件】后【谭Sir】又将成为资本下的又一个受害者，知道为什么马云要被打击了吧，资本太强大，是非常恐怖的 杰克Jack666的微博视频 ,0,0,1
6,4789930751165556	,4789930751165556	,股海神手常凯申,2022-07-11 06:25:46,又一个李子柒事件//@夜語菲://@青枚煮菁瓜:转发微博,1,0,0
6,4789854275634409	,4789854275634409	,是龙猫猫呀,2022-07-11 01:21:53,又一个李子柒事件，一个18年才成立的公司说一个05年就开播的节目侵权，并且很大可能会赢，专利流氓从美国传过来了，而且国内很好的吸收这一垃圾,0,0,5
6,4789852245590528	,4789852245590528	,不同的脚走不同的路,2022-07-11 01:13:48,这是李子柒事件以来，再次碰到非常令人窒息的操作！       其实很多行业多有存在，这是没有这样曝光。 这和非法打假，恶意碰瓷有什么区别？一门心思的钻法律漏洞，费尽心思为自己牟利。掌握着客户，商户，作者在法律上盲区，恶意举报，这分明就是敲诈。  强烈谴责！不予支持！,0,0,1
6,4789843420253363	,4789843420253363	,三句话让李泽言给我花了十八万,2022-07-11 00:38:45,哎看着最近的热搜真的很想感叹，我认为唐山事件就是失控的开始，以前的一些不体面的事情也受到了人们的极度关注。再加上疫情这个大环境的影响，现在的社会到底是怎么了。唐山事件引发的女性问题，考编事件得到官媒的“小镇做题家”，李子柒到谭sir。因为发现反抗无效，资本开始猖狂。其实我也不知道自己在说什么，这些事情很多时候离自己也很远，但还是心寒。我感觉自己虽然是在21世纪，却仿佛置身千百年前。,1,3,17
6,4789833828666655	,4789833828666655	,小丑女巫帽,2022-07-11 00:00:38,无论是罗翔退网、李子柒事件、还是谭谈交通事件越发感受到社会赤裸裸的现实不经想到，拥有名利后，还能保持初心和善良的人的却更值得我们尊重 ,0,0,13
7,4789805033981870	,4789805033981870	,星星一口吃一颗,2022-07-10 22:06:13,#谭谈交通全面下架#有点不知道说什么了，先是李子柒后是谭sir，有意义的视频说没就没，本身有问题的社会事件热搜都不能上，越来越好了 ,0,0,3
7,4788324222636272	,4788324222636272	,magnetostriction,2022-07-06 20:02:00,李子柒事件充分证明了资本的贪得无厌和邪恶。必须坚决予以打击。 ,0,0,0
7,4785730767029933	,4785730767029933	,龙眼凤梨冰,2022-06-29 16:16:32,感觉自己老爱分析一下别人怎么做才赚钱但又懒得去找数据去分析时间点还有各种事件其实我最想看到的安利应该是李子柒我觉得她是网红变现top了而且店铺居然不是只粉丝内流通而是走向全国我真的非常佩服她的商业头脑和团队 ,0,2,2
7,4773803722804707	,4773803722804707	,司马平邦,2022-05-27 18:22:43,成名走红绝大多数是偶然事件，即使经过精心的策划包装的，李子柒也一样，无论合作模式如何，她还是红了，这是大资本，现在合作出问题，该放下就放下，抓紧时间自己干，不要等着大家的同情和支持，赢到最后才叫赢。,3,5,16
7,4770137969002411	,4770137969002411	,黑暗英魂,2022-05-17 15:36:19,#央视网评a-soul事件##央视网评a-soul成员辞职# 你负重前行，资本来帮你岁月静好，资本逐利已经搞垮了好多人，【罗汉事件】和这件事一模一样b站【游戏部企划official】甚至大名鼎鼎的【李子柒】也是相同，资本从很久之前就开始干的这种事，【杀鸡取卵，篡取利益】，他们不会管你们能不能活，他们只管自己活的好就行，在他们眼里你们只是牛马，只是韭菜，只是他们儿孙资产的上供者，为什么愤怒，因为我们不是韭菜！不是牛马！不是上供者！我们是人！有理想，有梦想，有抱负的人！,0,0,12
7,4769886390456669	,4769886390456669	,戏台影视-E,2022-05-16 22:56:38,李子柒事件总结  戏台影视-E的微博视频 ,0,0,0
7,4769080646568982	,4769080646568982	,可爱的情人6481770752,2022-05-14 17:34:54,#李子柒起诉杭州微念# 李子柒大获全胜，这是否你想要看到的最好结局？李子柒事件 可爱的情人6481770752的微博视频 ,3,0,21
8,4768321285918349	,4768321285918349	,luvx_x,2022-05-12 15:17:28,不知道李子柒螺蛳粉好不好吃我只吃过hhl的 🐛乱事件以后不敢吃了。。。还有啥好吃的牌子啊 ,0,0,0
8,4766571236690689	,4766571236690689	,诗蓝影视推荐,2022-05-07 19:23:24,李子柒 事件总结  诗蓝影视推荐的微博视频 ,0,0,0
8,4765309729507905	,4765309729507905	,简单点哦_,2022-05-04 07:50:37,#李子柒斥300余账号恶意侵权# 自从ai换脸技术普及以来，此类事件层出不穷，不知道还有没有人记得前几年 靳东粉丝被骗的事，每次都嘲讽受害者助涨了各种罪恶，不知道何时才能有处理方式和成效。 ,0,0,0
8,4764860074951576	,4764860074951576	,纯野生策划人胡旨,2022-05-03 02:03:51,从李子柒事件看如何解决网红和mcn机构之间的矛盾？ 纯野生策划人胡旨的微博视频 ,0,0,0
8,4764613478974947	,4764613478974947	,占卜师鸿豐,2022-05-02 09:43:58,我们从姓名学角度来分析下李子柒事件：根据网上资料李子柒是1990年出生，属马，但很不幸给自己取的名字带有了子午冲的信息在，不偏不倚冲在自己的人际交往位，在人际交往方面必然会经受一个大的冲突。       再来看柒，名字自带冲，同时和属相自刑，因为投资引起口舌是非就是难免的事情！       微念，这个名字对她也起到了不好的磁场，名字带有多人的信息，已经带有分道扬镳的信息在里面，致命的是念字，带有肉的信息，我们要知道，马是食草动物，有肉可以说是看得到吃不到，空有其物而已！      姓名磁场的牵引力可谓不小！,0,0,0
8,4764414039818271	,4764414039818271	,生意思维君,2022-05-01 20:31:27,新媒体怎么挣钱因为最近各平台开始显示IP，很多海外博主IP在国内，所以很多人好奇，难道他们都是假装在海外吗？其实，他们是真的在海外，但是签约的公司在国内。上个月浪胃仙事件，主角浪胃仙就是离开了账号重新做号。李子柒也是账号在浙江的公司手里。所以，账号和博主分离是很正常的业内风控操作。新媒体包括了文字、图片、视频、直播等多种形式的内容。但它的商业模式依然还是沿袭传统的模式，由编辑和记者（采编、内容制作人、博主），商业化，推广团队构成。编辑策划选题，记者执行，最后返回编辑租稿（剪辑）。商业化负责变现，推广副业增长粉丝，也就是传统的发行。所以那些在海外的博主本身是相当于传统的记者。记者只是负责采集编辑规定的内容，编辑控制内容的走向。这里面每个人都是需要天赋和经验的，这个经验来自数据反馈。商业化以前主要就是广告和软广告。现在有带货、咨询、打赏等变现方式。广告是最常用的高效变现方式，但不是利益最大化的方式。因为广告的销售成本很高，也很被动，所以只有头部品牌化媒体才可以靠纯广告活下来。很多二三线的媒体，如果只靠广告，最后会在周期转换时死掉。因为发行和销售广告的费用其实很高很高。靠打赏活下来的媒体通常是娱乐和卖惨内容。那些无意中成长席卷全国新闻惨案的当事人，常常会成为卖惨变现的标的。大集团通常采用广告变现，因为可以规模化复制且高效。而采编制度可以降低记者的天赋门槛，更容易规模化。所以也就解释了为什么海外博主运营在国内，因为编辑、变现、发行在国内，靠一个人打拼成大博主是不太可能的。因为一个粉丝的成本在2-10元。红利期可能会成本在1毛钱以下，但那是给大集团的价格。,0,0,0
8,4764074263450779	,4764074263450779	,嘻笑堂HipHop,2022-04-30 22:01:19,好家伙！TY谣言事件登上热搜第二🔥仅次于李子柒风波。#ty# ,3,65,424
8,4764070051320533	,4764070051320533	,都别随风去cxm,2022-04-30 21:44:35,#李子柒斥300余账号恶意侵权#这个网络世界野蛮生长，法律法规监管没有跟上，侵权比比皆是。更厉害是网络黑恶势力，翻手为云覆手为雨，牢牢把控舆论场主动权，挑起对立，引导嗜血狂欢。做文明上网人，从自身做起，理智思考，文明发言。不做任何一桩网络暴力事件的跟随者。 ,0,0,0
8,4764003102884308	,4764003102884308	,梦梅林,2022-04-30 17:18:32,“李子柒更名李佳佳”是谣言，李子柒发律师函谴责，要求立即删除这次事件是否人为故意，以损害李子柒影响力。#李子柒#  “李子柒更名李佳佳”是谣言，李子柒发律师函谴责，要求立即删除 ,0,2,1
